0 0 1 0 0 0 -nan -nan
86 183 79 138 26 112 31.970260 18.840580
86 183 80 138 26 112 31.970260 18.840580
86 183 81 138 26 112 31.970260 18.840580
86 184 81 138 26 112 31.851852 18.840580
86 185 81 138 26 112 31.734317 18.840580
86 186 81 138 26 112 31.617647 18.840580
86 186 82 138 26 112 31.617647 18.840580
86 186 82 139 26 113 31.617647 18.705036
86 186 82 140 26 114 31.617647 18.571429
86 187 82 140 26 114 31.501832 18.571429
86 187 82 141 26 115 31.501832 18.439716
86 187 83 141 26 115 31.501832 18.439716
86 188 83 141 26 115 31.386861 18.439716
87 188 83 141 26 115 31.636364 18.439716
88 188 83 141 26 115 31.884058 18.439716
88 188 83 142 26 116 31.884058 18.309859
88 189 83 142 26 116 31.768953 18.309859
88 190 83 142 26 116 31.654676 18.309859
88 191 83 142 26 116 31.541219 18.309859
88 191 83 143 26 117 31.541219 18.181818
88 191 84 143 26 117 31.541219 18.181818
88 191 85 143 26 117 31.541219 18.181818
88 192 85 143 26 117 31.428571 18.181818
88 193 85 143 26 117 31.316726 18.181818
88 193 86 143 26 117 31.316726 18.181818
88 194 86 143 26 117 31.205674 18.181818
88 194 87 143 26 117 31.205674 18.181818
88 195 87 143 26 117 31.095406 18.181818
89 195 87 143 26 117 31.338028 18.181818
89 195 87 144 26 118 31.338028 18.055556
89 195 88 144 26 118 31.338028 18.055556
89 195 88 145 26 119 31.338028 17.931034
89 195 88 146 26 120 31.338028 17.808219
89 196 88 146 26 120 31.228070 17.808219
89 196 89 146 26 120 31.228070 17.808219
89 196 89 147 26 121 31.228070 17.687075
89 196 90 147 26 121 31.228070 17.687075
90 196 90 147 26 121 31.468531 17.687075
90 197 90 147 26 121 31.358885 17.687075
90 198 90 147 26 121 31.250000 17.687075
90 198 90 148 26 122 31.250000 17.567568
90 199 90 148 26 122 31.141869 17.567568
90 199 90 149 26 123 31.141869 17.449664
90 200 90 149 26 123 31.034483 17.449664
90 200 91 149 26 123 31.034483 17.449664
91 200 91 149 26 123 31.271478 17.449664
91 200 92 149 26 123 31.271478 17.449664
91 200 92 150 26 124 31.271478 17.333333
91 201 92 150 26 124 31.164384 17.333333
91 201 92 151 26 125 31.164384 17.218543
91 202 92 151 26 125 31.058020 17.218543
91 203 92 151 26 125 30.952381 17.218543
91 203 92 152 26 126 30.952381 17.105263
92 203 92 152 26 126 31.186441 17.105263
92 204 92 152 26 126 31.081081 17.105263
92 205 92 152 26 126 30.976431 17.105263
92 205 93 152 26 126 30.976431 17.105263
92 206 93 152 26 126 30.872483 17.105263
93 206 93 152 26 126 31.103679 17.105263
94 206 93 152 26 126 31.333333 17.105263
94 206 93 153 26 127 31.333333 16.993464
94 207 93 153 26 127 31.229236 16.993464
94 207 93 154 26 128 31.229236 16.883117
94 207 94 154 26 128 31.229236 16.883117
94 208 94 154 26 128 31.125828 16.883117
94 209 94 154 26 128 31.023102 16.883117
94 209 94 155 26 129 31.023102 16.774194
95 209 94 155 26 129 31.250000 16.774194
95 210 94 155 26 129 31.147541 16.774194
95 210 94 156 26 130 31.147541 16.666667
95 211 94 156 26 130 31.045752 16.666667
95 211 94 157 26 131 31.045752 16.560510
95 212 94 157 26 131 30.944625 16.560510
95 212 94 158 26 132 30.944625 16.455696
96 212 94 158 26 132 31.168831 16.455696
96 212 95 158 26 132 31.168831 16.455696
96 213 95 158 26 132 31.067961 16.455696
97 213 95 158 26 132 31.290323 16.455696
97 213 95 159 26 133 31.290323 16.352201
97 213 96 159 26 133 31.290323 16.352201
97 213 96 160 26 134 31.290323 16.250000
97 213 97 160 26 134 31.290323 16.250000
97 214 97 160 26 134 31.189711 16.250000
97 215 97 160 26 134 31.089744 16.250000
98 215 97 160 26 134 31.309904 16.250000
98 216 97 160 26 134 31.210191 16.250000
98 217 97 160 26 134 31.111111 16.250000
98 218 97 160 26 134 31.012658 16.250000
99 218 97 160 26 134 31.230284 16.250000
99 218 97 161 26 135 31.230284 16.149068
99 218 97 162 26 136 31.230284 16.049383
99 219 97 162 26 136 31.132075 16.049383
99 220 97 162 26 136 31.034483 16.049383
99 220 97 163 26 137 31.034483 15.950920
99 221 97 163 26 137 30.937500 15.950920
99 221 98 163 26 137 30.937500 15.950920
99 222 98 163 26 137 30.841121 15.950920
99 223 98 163 26 137 30.745342 15.950920
99 224 98 163 26 137 30.650155 15.950920
100 224 98 163 26 137 30.864198 15.950920
100 224 99 163 26 137 30.864198 15.950920
100 224 99 164 26 138 30.864198 15.853659
101 224 99 164 26 138 31.076923 15.853659
101 225 99 164 26 138 30.981595 15.853659
101 225 100 164 26 138 30.981595 15.853659
102 225 100 164 26 138 31.192661 15.853659
103 225 100 164 26 138 31.402439 15.853659
103 226 100 164 26 138 31.306991 15.853659
104 226 100 164 26 138 31.515152 15.853659
104 227 100 164 26 138 31.419940 15.853659
104 227 100 165 26 139 31.419940 15.757576
