0 0 1 0 0 0 -nan -nan
14 26 43 39 20 19 35.000000 51.282051
14 26 44 39 20 19 35.000000 51.282051
14 26 44 40 21 19 35.000000 52.500000
14 26 44 41 22 19 35.000000 53.658537
14 26 45 41 22 19 35.000000 53.658537
14 26 45 42 22 20 35.000000 52.380952
14 26 46 42 22 20 35.000000 52.380952
14 26 46 43 23 20 35.000000 53.488372
14 27 46 43 23 20 34.146341 53.488372
14 27 46 44 24 20 34.146341 54.545455
14 27 47 44 24 20 34.146341 54.545455
14 28 47 44 24 20 33.333333 54.545455
14 29 47 44 24 20 32.558140 54.545455
14 29 48 44 24 20 32.558140 54.545455
14 29 49 44 24 20 32.558140 54.545455
15 29 49 44 24 20 34.090909 54.545455
15 29 50 44 24 20 34.090909 54.545455
16 29 50 44 24 20 35.555556 54.545455
16 29 50 45 24 21 35.555556 53.333333
17 29 50 45 24 21 36.956522 53.333333
17 30 50 45 24 21 36.170213 53.333333
17 30 50 46 25 21 36.170213 54.347826
17 30 51 46 25 21 36.170213 54.347826
18 30 51 46 25 21 37.500000 54.347826
18 31 51 46 25 21 36.734694 54.347826
18 32 51 46 25 21 36.000000 54.347826
18 32 51 47 26 21 36.000000 55.319149
19 32 51 47 26 21 37.254902 55.319149
19 32 52 47 26 21 37.254902 55.319149
20 32 52 47 26 21 38.461538 55.319149
20 32 52 48 26 22 38.461538 54.166667
20 32 53 48 26 22 38.461538 54.166667
20 32 54 48 26 22 38.461538 54.166667
20 32 55 48 26 22 38.461538 54.166667
20 32 55 49 27 22 38.461538 55.102041
20 32 56 49 27 22 38.461538 55.102041
20 32 57 49 27 22 38.461538 55.102041
20 32 57 50 28 22 38.461538 56.000000
21 32 57 50 28 22 39.622642 56.000000
21 32 58 50 28 22 39.622642 56.000000
22 32 58 50 28 22 40.740741 56.000000
22 33 58 50 28 22 40.000000 56.000000
23 33 58 50 28 22 41.071429 56.000000
24 33 58 50 28 22 42.105263 56.000000
24 33 59 50 28 22 42.105263 56.000000
25 33 59 50 28 22 43.103448 56.000000
25 33 59 51 28 23 43.103448 54.901961
25 33 59 52 29 23 43.103448 55.769231
26 33 59 52 29 23 44.067797 55.769231
26 34 59 52 29 23 43.333333 55.769231
27 34 59 52 29 23 44.262295 55.769231
27 34 59 53 30 23 44.262295 56.603774
27 34 59 54 31 23 44.262295 57.407407
27 34 59 55 32 23 44.262295 58.181818
27 34 59 56 33 23 44.262295 58.928571
27 34 60 56 33 23 44.262295 58.928571
27 34 60 57 34 23 44.262295 59.649123
27 34 60 58 34 24 44.262295 58.620690
27 34 61 58 34 24 44.262295 58.620690
27 35 61 58 34 24 43.548387 58.620690
27 35 61 59 35 24 43.548387 59.322034
28 35 61 59 35 24 44.444444 59.322034
28 35 62 59 35 24 44.444444 59.322034
28 36 62 59 35 24 43.750000 59.322034
28 36 62 60 36 24 43.750000 60.000000
28 36 62 61 37 24 43.750000 60.655738
28 36 63 61 37 24 43.750000 60.655738
28 36 63 62 38 24 43.750000 61.290323
28 37 63 62 38 24 43.076923 61.290323
29 37 63 62 38 24 43.939394 61.290323
29 37 63 63 38 25 43.939394 60.317460
29 37 63 64 38 26 43.939394 59.375000
29 38 63 64 38 26 43.283582 59.375000
29 38 63 65 39 26 43.283582 60.000000
29 38 64 65 39 26 43.283582 60.000000
29 38 64 66 39 27 43.283582 59.090909
29 39 64 66 39 27 42.647059 59.090909
29 40 64 66 39 27 42.028986 59.090909
30 40 64 66 39 27 42.857143 59.090909
30 41 64 66 39 27 42.253521 59.090909
31 41 64 66 39 27 43.055556 59.090909
31 42 64 66 39 27 42.465753 59.090909
31 43 64 66 39 27 41.891892 59.090909
31 44 64 66 39 27 41.333333 59.090909
31 45 64 66 39 27 40.789474 59.090909
31 45 65 66 39 27 40.789474 59.090909
31 45 65 67 39 28 40.789474 58.208955
31 45 66 67 39 28 40.789474 58.208955
31 45 67 67 39 28 40.789474 58.208955
31 45 67 68 40 28 40.789474 58.823529
31 45 67 69 40 29 40.789474 57.971014
32 45 67 69 40 29 41.558442 57.971014
33 45 67 69 40 29 42.307692 57.971014
33 45 67 70 40 30 42.307692 57.142857
34 45 67 70 40 30 43.037975 57.142857
34 45 67 71 41 30 43.037975 57.746479
34 46 67 71 41 30 42.500000 57.746479
34 47 67 71 41 30 41.975309 57.746479
34 47 67 72 41 31 41.975309 56.944444
34 48 67 72 41 31 41.463415 56.944444
35 48 67 72 41 31 42.168675 56.944444
35 48 68 72 41 31 42.168675 56.944444
36 48 68 72 41 31 42.857143 56.944444
36 48 68 73 41 32 42.857143 56.164384
37 48 68 73 41 32 43.529412 56.164384
37 48 68 74 41 33 43.529412 55.405405
37 48 69 74 41 33 43.529412 55.405405
37 48 69 75 42 33 43.529412 56.000000
38 48 69 75 42 33 44.186047 56.000000
38 48 69 76 43 33 44.186047 56.578947
38 48 69 77 43 34 44.186047 55.844156
38 49 69 77 43 34 43.678161 55.844156
38 50 69 77 43 34 43.181818 55.844156
38 51 69 77 43 34 42.696629 55.844156
39 51 69 77 43 34 43.333333 55.844156
39 52 69 77 43 34 42.857143 55.844156
39 52 69 78 43 35 42.857143 55.128205
40 52 69 78 43 35 43.478261 55.128205
41 52 69 78 43 35 44.086022 55.128205
41 52 70 78 43 35 44.086022 55.128205
41 52 70 79 43 36 44.086022 54.430380
41 52 71 79 43 36 44.086022 54.430380
41 53 71 79 43 36 43.617021 54.430380
41 53 71 80 43 37 43.617021 53.750000
41 54 71 80 43 37 43.157895 53.750000
41 54 71 81 43 38 43.157895 53.086420
42 54 71 81 43 38 43.750000 53.086420
42 55 71 81 43 38 43.298969 53.086420
42 56 71 81 43 38 42.857143 53.086420
42 56 71 82 43 39 42.857143 52.439024
43 56 71 82 43 39 43.434343 52.439024
44 56 71 82 43 39 44.000000 52.439024
44 56 71 83 44 39 44.000000 53.012048
44 56 71 84 45 39 44.000000 53.571429
44 56 71 85 46 39 44.000000 54.117647
44 56 71 86 47 39 44.000000 54.651163
44 57 71 86 47 39 43.564356 54.651163
44 57 72 86 47 39 43.564356 54.651163
44 58 72 86 47 39 43.137255 54.651163
44 58 73 86 47 39 43.137255 54.651163
44 58 74 86 47 39 43.137255 54.651163
44 59 74 86 47 39 42.718447 54.651163
44 59 75 86 47 39 42.718447 54.651163
44 59 76 86 47 39 42.718447 54.651163
44 59 77 86 47 39 42.718447 54.651163
44 59 78 86 47 39 42.718447 54.651163
44 59 79 86 47 39 42.718447 54.651163
44 59 80 86 47 39 42.718447 54.651163
44 59 81 86 47 39 42.718447 54.651163
44 60 81 86 47 39 42.307692 54.651163
44 61 81 86 47 39 41.904762 54.651163
44 61 81 87 48 39 41.904762 55.172414
44 62 81 87 48 39 41.509434 55.172414
44 62 82 87 48 39 41.509434 55.172414
44 62 83 87 48 39 41.509434 55.172414
44 63 83 87 48 39 41.121495 55.172414
45 63 83 87 48 39 41.666667 55.172414
45 63 83 88 49 39 41.666667 55.681818
46 63 83 88 49 39 42.201835 55.681818
46 63 83 89 49 40 42.201835 55.056180
46 63 83 90 49 41 42.201835 54.444444
47 63 83 90 49 41 42.727273 54.444444
47 64 83 90 49 41 42.342342 54.444444
48 64 83 90 49 41 42.857143 54.444444
48 64 84 90 49 41 42.857143 54.444444
48 64 85 90 49 41 42.857143 54.444444
48 64 86 90 49 41 42.857143 54.444444
48 64 87 90 49 41 42.857143 54.444444
48 65 87 90 49 41 42.477876 54.444444
48 65 87 91 50 41 42.477876 54.945055
48 66 87 91 50 41 42.105263 54.945055
48 66 88 91 50 41 42.105263 54.945055
48 66 89 91 50 41 42.105263 54.945055
48 66 89 92 50 42 42.105263 54.347826
48 66 90 92 50 42 42.105263 54.347826
48 67 90 92 50 42 41.739130 54.347826
48 67 90 93 50 43 41.739130 53.763441
48 67 90 94 50 44 41.739130 53.191489
49 67 90 94 50 44 42.241379 53.191489
50 67 90 94 50 44 42.735043 53.191489
50 67 91 94 50 44 42.735043 53.191489
50 67 92 94 50 44 42.735043 53.191489
50 68 92 94 50 44 42.372881 53.191489
50 69 92 94 50 44 42.016807 53.191489
50 70 92 94 50 44 41.666667 53.191489
50 71 92 94 50 44 41.322314 53.191489
50 71 93 94 50 44 41.322314 53.191489
50 71 93 95 50 45 41.322314 52.631579
50 71 94 95 50 45 41.322314 52.631579
51 71 94 95 50 45 41.803279 52.631579
51 72 94 95 50 45 41.463415 52.631579
51 73 94 95 50 45 41.129032 52.631579
51 73 95 95 50 45 41.129032 52.631579
51 73 95 96 51 45 41.129032 53.125000
51 74 95 96 51 45 40.800000 53.125000
51 74 96 96 51 45 40.800000 53.125000
52 74 96 96 51 45 41.269841 53.125000
52 75 96 96 51 45 40.944882 53.125000
52 75 96 97 51 46 40.944882 52.577320
53 75 96 97 51 46 41.406250 52.577320
53 76 96 97 51 46 41.085271 52.577320
53 76 96 98 52 46 41.085271 53.061224
53 76 96 99 53 46 41.085271 53.535354
54 76 96 99 53 46 41.538462 53.535354
54 76 96 100 53 47 41.538462 53.000000
54 76 96 101 54 47 41.538462 53.465347
54 76 97 101 54 47 41.538462 53.465347
54 76 98 101 54 47 41.538462 53.465347
54 77 98 101 54 47 41.221374 53.465347
54 77 98 102 55 47 41.221374 53.921569
54 77 98 103 56 47 41.221374 54.368932
54 77 99 103 56 47 41.221374 54.368932
54 77 99 104 57 47 41.221374 54.807692
54 77 99 105 58 47 41.221374 55.238095
54 77 100 105 58 47 41.221374 55.238095
54 77 101 105 58 47 41.221374 55.238095
54 78 101 105 58 47 40.909091 55.238095
54 78 101 106 58 48 40.909091 54.716981
54 79 101 106 58 48 40.601504 54.716981
54 79 101 107 58 49 40.601504 54.205607
55 79 101 107 58 49 41.044776 54.205607
55 79 102 107 58 49 41.044776 54.205607
55 79 102 108 58 50 41.044776 53.703704
55 79 102 109 59 50 41.044776 54.128440
56 79 102 109 59 50 41.481481 54.128440
56 80 102 109 59 50 41.176471 54.128440
56 81 102 109 59 50 40.875912 54.128440
56 81 102 110 60 50 40.875912 54.545455
56 81 103 110 60 50 40.875912 54.545455
56 82 103 110 60 50 40.579710 54.545455
57 82 103 110 60 50 41.007194 54.545455
57 82 103 111 61 50 41.007194 54.954955
57 83 103 111 61 50 40.714286 54.954955
57 83 104 111 61 50 40.714286 54.954955
57 83 104 112 62 50 40.714286 55.357143
58 83 104 112 62 50 41.134752 55.357143
58 83 105 112 62 50 41.134752 55.357143
58 84 105 112 62 50 40.845070 55.357143
58 85 105 112 62 50 40.559441 55.357143
58 85 106 112 62 50 40.559441 55.357143
59 85 106 112 62 50 40.972222 55.357143
60 85 106 112 62 50 41.379310 55.357143
61 85 106 112 62 50 41.780822 55.357143
61 85 107 112 62 50 41.780822 55.357143
62 85 107 112 62 50 42.176871 55.357143
62 86 107 112 62 50 41.891892 55.357143
62 86 107 113 63 50 41.891892 55.752212
62 86 107 114 63 51 41.891892 55.263158
63 86 107 114 63 51 42.281879 55.263158
63 86 108 114 63 51 42.281879 55.263158
63 86 108 115 63 52 42.281879 54.782609
64 86 108 115 63 52 42.666667 54.782609
65 86 108 115 63 52 43.046358 54.782609
66 86 108 115 63 52 43.421053 54.782609
66 86 109 115 63 52 43.421053 54.782609
67 86 109 115 63 52 43.790850 54.782609
68 86 109 115 63 52 44.155844 54.782609
68 86 110 115 63 52 44.155844 54.782609
69 86 110 115 63 52 44.516129 54.782609
69 87 110 115 63 52 44.230769 54.782609
69 87 110 116 64 52 44.230769 55.172414
69 87 110 117 65 52 44.230769 55.555556
69 87 111 117 65 52 44.230769 55.555556
69 87 112 117 65 52 44.230769 55.555556
69 87 112 118 66 52 44.230769 55.932203
70 87 112 118 66 52 44.585987 55.932203
70 88 112 118 66 52 44.303797 55.932203
70 88 113 118 66 52 44.303797 55.932203
71 88 113 118 66 52 44.654088 55.932203
72 88 113 118 66 52 45.000000 55.932203
72 88 114 118 66 52 45.000000 55.932203
72 88 114 119 67 52 45.000000 56.302521
72 89 114 119 67 52 44.720497 56.302521
73 89 114 119 67 52 45.061728 56.302521
73 89 115 119 67 52 45.061728 56.302521
73 89 116 119 67 52 45.061728 56.302521
73 89 116 120 68 52 45.061728 56.666667
73 90 116 120 68 52 44.785276 56.666667
73 91 116 120 68 52 44.512195 56.666667
73 91 116 121 69 52 44.512195 57.024793
74 91 116 121 69 52 44.848485 57.024793
74 91 116 122 70 52 44.848485 57.377049
74 91 117 122 70 52 44.848485 57.377049
74 91 118 122 70 52 44.848485 57.377049
74 92 118 122 70 52 44.578313 57.377049
75 92 118 122 70 52 44.910180 57.377049
75 92 118 123 71 52 44.910180 57.723577
75 92 119 123 71 52 44.910180 57.723577
76 92 119 123 71 52 45.238095 57.723577
76 92 120 123 71 52 45.238095 57.723577
76 93 120 123 71 52 44.970414 57.723577
76 93 120 124 72 52 44.970414 58.064516
76 93 121 124 72 52 44.970414 58.064516
77 93 121 124 72 52 45.294118 58.064516
77 93 122 124 72 52 45.294118 58.064516
77 94 122 124 72 52 45.029240 58.064516
78 94 122 124 72 52 45.348837 58.064516
78 95 122 124 72 52 45.086705 58.064516
78 95 123 124 72 52 45.086705 58.064516
78 96 123 124 72 52 44.827586 58.064516
78 97 123 124 72 52 44.571429 58.064516
79 97 123 124 72 52 44.886364 58.064516
79 97 123 125 73 52 44.886364 58.400000
79 97 123 126 73 53 44.886364 57.936508
79 97 124 126 73 53 44.886364 57.936508
79 97 124 127 74 53 44.886364 58.267717
79 97 124 128 75 53 44.886364 58.593750
80 97 124 128 75 53 45.197740 58.593750
81 97 124 128 75 53 45.505618 58.593750
81 97 124 129 76 53 45.505618 58.914729
81 97 124 130 77 53 45.505618 59.230769
81 98 124 130 77 53 45.251397 59.230769
81 98 124 131 77 54 45.251397 58.778626
81 98 124 132 77 55 45.251397 58.333333
81 98 125 132 77 55 45.251397 58.333333
81 99 125 132 77 55 45.000000 58.333333
81 100 125 132 77 55 44.751381 58.333333
81 101 125 132 77 55 44.505495 58.333333
81 102 125 132 77 55 44.262295 58.333333
81 102 125 133 77 56 44.262295 57.894737
81 102 126 133 77 56 44.262295 57.894737
81 102 127 133 77 56 44.262295 57.894737
